date,year,temperature,min_temperature,max_temperature,season_year,season,day_in_season
1864-07-11,1864,19.9,,,1864,3,41
1864-07-12,1864,21.2,,,1864,3,42
1864-07-13,1864,16.7,,,1864,3,43
1864-07-14,1864,17.6,,,1864,3,44
1864-07-15,1864,19.4,,,1864,3,45
1864-07-16,1864,19.2,,,1864,3,46
1864-07-17,1864,18.4,,,1864,3,47
1864-07-18,1864,18.7,,,1864,3,48
1864-07-19,1864,19.4,,,1864,3,49
1864-07-20,1864,20.7,,,1864,3,50
1864-07-21,1864,20.9,,,1864,3,51
1864-07-22,1864,18.6,,,1864,3,52
1864-07-23,1864,19.9,,,1864,3,53
1864-07-24,1864,21.8,,,1864,3,54
1864-07-25,1864,21.8,,,1864,3,55
1864-07-26,1864,19.3,,,1864,3,56
1864-07-27,1864,20.4,,,1864,3,57
1864-07-28,1864,20.0,,,1864,3,58
1864-07-29,1864,21.6,,,1864,3,59
1864-07-30,1864,22.2,,,1864,3,60
1864-07-31,1864,21.1,,,1864,3,61
1864-08-01,1864,23.8,,,1864,3,62
1864-08-02,1864,20.2,,,1864,3,63
1864-08-03,1864,17.4,,,1864,3,64
1864-08-04,1864,20.0,,,1864,3,65
1864-08-05,1864,21.1,,,1864,3,66
1864-08-06,1864,23.2,,,1864,3,67
1864-08-07,1864,23.2,,,1864,3,68
1864-08-08,1864,21.7,,,1864,3,69
1864-08-09,1864,23.5,,,1864,3,70
1864-08-10,1864,17.1,,,1864,3,71
1864-08-11,1864,12.9,,,1864,3,72
1864-08-12,1864,14.4,,,1864,3,73
1864-08-13,1864,13.7,,,1864,3,74
1864-08-14,1864,15.3,,,1864,3,75
1864-08-15,1864,16.6,,,1864,3,76
1864-08-16,1864,17.7,,,1864,3,77
1864-08-17,1864,19.1,,,1864,3,78
1864-08-18,1864,16.5,,,1864,3,79
1864-08-19,1864,16.5,,,1864,3,80
1864-08-20,1864,18.8,,,1864,3,81
1864-08-21,1864,17.8,,,1864,3,82
1864-08-22,1864,20.9,,,1864,3,83
1864-08-23,1864,20.0,,,1864,3,84
1864-08-24,1864,12.3,,,1864,3,85
1864-08-25,1864,11.7,,,1864,3,86
1864-08-26,1864,11.9,,,1864,3,87
1864-08-27,1864,10.0,,,1864,3,88
1864-08-28,1864,12.0,,,1864,3,89
1864-08-29,1864,13.6,,,1864,3,90
1864-08-30,1864,15.7,,,1864,3,91
1864-08-31,1864,17.2,,,1864,3,92
1864-09-01,1864,17.5,,,1864,4,1
1864-09-02,1864,15.4,,,1864,4,2
1864-09-03,1864,14.5,,,1864,4,3
1864-09-04,1864,14.6,,,1864,4,4
1864-09-05,1864,14.3,,,1864,4,5
1864-09-06,1864,17.8,,,1864,4,6
1864-09-07,1864,19.7,,,1864,4,7
1864-09-08,1864,18.5,,,1864,4,8
1864-09-09,1864,19.2,,,1864,4,9
1864-09-10,1864,19.2,,,1864,4,10
1864-09-11,1864,15.8,,,1864,4,11
1864-09-12,1864,9.8,,,1864,4,12
1864-09-13,1864,9.1,,,1864,4,13
1864-09-14,1864,9.6,,,1864,4,14
